"3DS ","http://www.thegadgetrecycler.com/model/3ds"
"Bold 9000 ","http://www.thegadgetrecycler.com/model/bold-9000"
"Bold 9700 ","http://www.thegadgetrecycler.com/model/bold-9700"
"Bold 9780 ","http://www.thegadgetrecycler.com/model/bold-9780"
"Classic 6th gen ","http://www.thegadgetrecycler.com/model/classic-6th-gen"
"Classic 7th gen ",
"DS lite ","http://www.thegadgetrecycler.com/model/ds-lite"
"DSi ","http://www.thegadgetrecycler.com/model/dsi"
"DSi XL ","http://www.thegadgetrecycler.com/model/dsi-xl"
"i9000 Galaxy S ","http://www.thegadgetrecycler.com/model/i9000-galaxy-s"
"i9100 Galaxy S",
"Galaxy Note N7000",
"iPad 1st 16GB WiFi ","http://www.thegadgetrecycler.com/model/ipad-1st-16gb-wifi"
"iPad 1st 16GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-1st-16gb-wifi-3g"
"iPad 1st 32GB WiFi ","http://www.thegadgetrecycler.com/model/ipad-1st-32gb-wifi"
"iPad 1st 32GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-1st-32gb-wifi-3g"
"iPad 1st 64GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-1st-64gb-wifi-3g"
"iPad 2 16GB Wifi ","http://www.thegadgetrecycler.com/model/ipad-2-16gb-wifi"
"iPad 2 16GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-2-16gb-wifi-3g"
"iPad 2 32GB Wifi ","http://www.thegadgetrecycler.com/model/ipad-2-32gb-wifi"
"iPad 2 32GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-2-32gb-wifi-3g"
"iPad 2 64GB Wifi ","http://www.thegadgetrecycler.com/model/ipad-2-64gb-wifi"
"iPad 2 64GB Wifi 3G ","http://www.thegadgetrecycler.com/model/ipad-2-64gb-wifi-3g"
"iPad 3 64GB Wifi",
"iPad 3 32GB Wifi",
"iPad 3 16GB Wifi",
"Iphone 3GS 16gb ","http://www.thegadgetrecycler.com/model/iphone-3gs-16gb"
"Iphone 3GS 32gb ","http://www.thegadgetrecycler.com/model/iphone-3gs-32gb"
"Iphone 3GS 8gb ","http://www.thegadgetrecycler.com/model/iphone-3gs-8gb"
"Iphone 4 16gb ","http://www.thegadgetrecycler.com/model/iphone-4-16gb"
"Iphone 4 32gb ","http://www.thegadgetrecycler.com/model/iphone-4-32gb"
"Iphone 4S 32gb ",
"Iphone 4S 16gb ",
"Iphone 4S 64gb ",
"Nano 3rd Gen 4gb ","http://www.thegadgetrecycler.com/model/nano-3rd-gen-4gb"
"Nano 3rd Gen 8gb ","http://www.thegadgetrecycler.com/model/nano-3rd-gen-8gb"
"Nano 4th Gen 16gb ","http://www.thegadgetrecycler.com/model/nano-4th-gen-16gb"
"Nano 4th Gen 8gb ","http://www.thegadgetrecycler.com/model/nano-4th-gen-8gb"
"Nano 5th Gen 16gb ","http://www.thegadgetrecycler.com/model/nano-5th-gen-16gb"
"Nano 5th Gen 8gb ","http://www.thegadgetrecycler.com/model/nano-5th-gen-8gb"
"Nano 6th gen 16gb ","http://www.thegadgetrecycler.com/model/nano-6th-gen-16gb"
"Nano 6th gen 8gb ","http://www.thegadgetrecycler.com/model/nano-6th-gen-8gb"
"PSP 1000 series ","http://www.thegadgetrecycler.com/model/psp-1000-series"
"PSP 2000 series","http://www.thegadgetrecycler.com/model/psp-2000-series"
"PSP GO ","http://www.thegadgetrecycler.com/model/psp-go"
"PSP Vita",
"Torch 9800 ","http://www.thegadgetrecycler.com/model/torch-9800"
"Torch 9860 ","http://www.thegadgetrecycler.com/model/torch-9860"
"Torch 9900 ",
"Torch 9790 ",
"Touch 1st gen 16gb ","http://www.thegadgetrecycler.com/model/touch-1st-gen-16gb"
"Touch 1st gen 32gb ","http://www.thegadgetrecycler.com/model/touch-1st-gen-32gb"
"Touch 1st gen 8gb ","http://www.thegadgetrecycler.com/model/touch-1st-gen-8gb"
"Touch 2nd gen 16gb ","http://www.thegadgetrecycler.com/model/touch-2nd-gen-16gb"
"Touch 2nd gen 32gb ","http://www.thegadgetrecycler.com/model/touch-2nd-gen-32gb"
"Touch 2nd gen 8gb ","http://www.thegadgetrecycler.com/model/touch-2nd-gen-8gb"
"Touch 3rd gen 32gb ","http://www.thegadgetrecycler.com/model/touch-3rd-gen-32gb"
"Touch 3rd gen 64gb ","http://www.thegadgetrecycler.com/model/touch-3rd-gen-64gb"
"Touch 3rd gen 8gb ","http://www.thegadgetrecycler.com/model/touch-3rd-gen-8gb"
"Touch 4th gen 32gb ","http://www.thegadgetrecycler.com/model/touch-4th-gen-32gb"
"Touch 4th gen 64gb ","http://www.thegadgetrecycler.com/model/touch-4th-gen-64gb"
"Touch 4th gen 8gb ","http://www.thegadgetrecycler.com/model/touch-4th-gen-8gb"
